kmdm,kmmc,dwdm,dwmc,rlj,ylj,nlj
2010101,行政运行,2,大连市人民代表大会常务委员会办公厅,0,981545.17,1979469.38
2010201,行政运行,3,中国人民政治协商会议辽宁省大连市委员会办公厅,0,615485.03,1249403.45
2010301,行政运行,5,大连市人民政府办公厅,0,3945395.77,7903843.81
2010301,行政运行,66,大连市接待办公室,0,154441.56,294422.23
2010301,行政运行,74,大连市人民防空办公室,0,225770.95,451541.9
2010301,行政运行,118,大连市公共行政服务中心,0,190850.1,368270.89
2010401,行政运行,5,大连市人民政府办公厅,0,813805,1636166.63
2010401,行政运行,110,大连市物价局,0,354530.03,709060.06
2010501,行政运行,41,大连市统计局,0,651602.38,1284712.08
2010601,行政运行,17,大连市财政局,0,1191599.39,2391032.15
2010701,行政运行,37,大连市地方税务局,0,7736996.46,15505798.86
2010801,行政运行,36,大连市审计局,0,923265.55,1859868.2
2011101,行政运行,4,中国共产党大连市纪律检查委员会办公厅,0,935546.44,1848678.41
2011301,行政运行,32,大连市服务业委员会,0,551649.35,1109584.6
2011501,行政运行,52,大连市工商行政管理局,0,1633645.22,3213675.12
2011701,行政运行,38,大连市质量技术监督局,0,437293.98,873737.1
2012301,行政运行,5,大连市人民政府办公厅,0,210078.73,430467.41
2012501,行政运行,5,大连市人民政府办公厅,0,393132.89,787288.36
2012601,行政运行,54,大连市档案局,0,396671.84,804612.9
2012801,行政运行,57,大连市民主党派行政事务管理办公室,0,659274.43,1318548.86
2012801,行政运行,60,大连市工商业联合会,0,241563.59,483127.18
2012901,行政运行,58,大连市妇女联合会,0,220151.52,440303.04
2012901,行政运行,59,中国共产主义青年团大连市委员会,0,235001.3,470002.6
2013101,行政运行,1,中共大连市委办公厅,0,1053892.75,2113899.19
2013201,行政运行,1,中共大连市委办公厅,0,749086.48,1490406.13
2013301,行政运行,1,中共大连市委办公厅,0,523073.18,1047741.95
2013401,行政运行,1,中共大连市委办公厅,0,327417.51,659681.11
2013601,行政运行,1,中共大连市委办公厅,0,1130383.94,2219144.87
2040201,行政运行,11,大连市公安局,0,63990514.43,130192562.8
2040201,行政运行,114,大连市公安局交通警察支队,0,7658759.26,15262273.82
2040401,行政运行,13,辽宁省大连市人民检察院,0,2297291.68,4632311.81
2040401,行政运行,82,辽宁省大连市城郊地区人民检察院,0,206491.25,412982.5
2040501,行政运行,14,大连市中级人民法院,0,2489024.76,4884998.9
2040601,行政运行,16,大连市司法局,0,768207.93,1512691.6
2040701,行政运行,16,大连市司法局,0,2304825.88,4627091.59
2040801,行政运行,16,大连市司法局,0,2271537.55,4563515
2050101,行政运行,9,大连市教育局,0,561354.39,1130630.95
2050202,小学教育,900,下级财政,0,129120000,129120000
2050203,初中教育,900,下级财政,0,66600000,66600000
2060101,行政运行,10,大连市科学技术局,0,355221.94,710443.88
2060101,行政运行,64,大连市科学技术协会,0,176938.51,353067.7
2070101,行政运行,33,大连市文化广播影视局,0,468964.38,945380.52
2070101,行政运行,63,大连市文学艺术界联合会,0,105188.77,210377.54
2070301,行政运行,40,大连市体育局,0,238737.53,477941.67
2080101,行政运行,19,大连市人力资源和社会保障局,0,857536.74,1715073.48
2080201,行政运行,15,大连市民政局,0,555628.76,1101488.27
2080501,行政单位离退休,1,中共大连市委办公厅,0,580576.66,1139339.9
2080501,行政单位离退休,2,大连市人民代表大会常务委员会办公厅,0,243946.17,476648.17
2080501,行政单位离退休,3,中国人民政治协商会议辽宁省大连市委员会办公厅,0,140952.66,267743.03
2080501,行政单位离退休,4,中国共产党大连市纪律检查委员会办公厅,0,240910.31,481820.62
2080501,行政单位离退休,5,大连市人民政府办公厅,0,899394.04,1787031.11
2080501,行政单位离退休,6,大连市人民政府国有资产监督管理委员会,0,75848.39,146203.17
2080501,行政单位离退休,8,大连市经济和信息化委员会,0,833051,1666102
2080501,行政单位离退休,9,大连市教育局,0,150418.4,300836.8
2080501,行政单位离退休,10,大连市科学技术局,0,55891.35,111782.7
2080501,行政单位离退休,11,大连市公安局,0,4234757.75,8198194.02
2080501,行政单位离退休,13,辽宁省大连市人民检察院,0,473566.53,943530.08
2080501,行政单位离退休,14,大连市中级人民法院,0,232851.29,461615.03
2080501,行政单位离退休,15,大连市民政局,0,92861.21,185722.42
2080501,行政单位离退休,16,大连市司法局,0,816081.19,1644684.31
2080501,行政单位离退休,17,大连市财政局,0,109925.24,214356.87
2080501,行政单位离退休,19,大连市人力资源和社会保障局,0,118527.27,237054.54
2080501,行政单位离退休,20,大连市国土资源和房屋局,0,151523.05,287810.54
