科目代码,科目名称,本月发生额,本年累计
101,税收收入,1414987634,11133477143
10101,增值税,650401629.1,4521649899
101010101,国有企业增值税,9924338.63,64063388.83
101010102,集体企业增值税,3103897.58,19019804.33
101010103,股份制企业增值税,76476583.35,766180567.8
101010104,联营企业增值税,14007.06,122622.79
101010105,港澳台和外商投资企业增值税,90442244.83,544438393.6
101010106,私营企业增值税,46535324.24,348766936.7
101010119,其他增值税,3293395.45,44460253.92
101010120,增值税税款滞纳金、罚款收入,828837.5,5157559.38
101010121,残疾人就业增值税退税,-2947034.61,-26383192.4
101010122,软件增值税退税,-5382067.12,-13350193.19
101010125,宣传文化单位增值税退税,-537947.23,-537947.23
101010127,核电站增值税退税,-5463394.13,-8247995.2
101010129,资源综合利用增值税退税,-1011236.62,-5578280.11
101010150,其他增值税退税,-192614.18,-192614.18
101010151,免抵调增增值税,186558075.1,609381955.5
101010401,改征增值税,216901146.6,2119174166
101010420,改征增值税税款滞纳金、罚款收入,138988.24,1426622.73
101010429,改征增值税国内退税,32281.59,-33299.96
101010461,免抵调增改征增值税,31686802.7,53781149.38
10103,营业税,422989.86,40893273.52
101030301,交强险营业税,0,-2920.07
101030399,其他金融保险业营业税,206927.96,19274024.93
1010304,一般营业税,39334.11,17420760.25
1010320,营业税税款滞纳金、罚款收入,176727.79,4201408.41
10104,企业所得税,140077453.6,2747196736
1010405,国有石油和化学工业所得税,0,150854.34
1010413,国有船舶工业所得税,6.42,602857.03
1010415,国有烟草企业所得税,0,18650782.73
101041709,其他国有铁道企业所得税,0,31164.5
1010418,国有交通企业所得税,0,11088.27
1010422,国有外贸企业所得税,0,1280046.73
101042602,国有出版企业所得税,0,695.14
101042609,其他国有文教企业所得税,0,46559.25
1010431,其他国有企业所得税,357057.27,8987060.15
1010432,集体企业所得税,1072876.7,7092556.14
101043317,跨省合资铁路企业所得税,0,126307.29
101043399,其他股份制企业所得税,38415533.63,630359708.9
1010434,联营企业所得税,-8042.42,1204317.2
101043509,其他港澳台和外商投资企业所得税,66647389.99,611515737.1
1010436,私营企业所得税,31301272.29,217335687.1
1010439,其他企业所得税,53109.24,416488747.3
101044001,国有企业分支机构预缴所得税,33626.41,1562647.99
101044002,股份制企业分支机构预缴所得税,-907971.46,302726132.1
101044003,港澳台和外商投资企业分支机构预缴所得税,4581054.69,92082324.16
101044099,其他企业分支机构预缴所得税,18582.02,5535193.68
101044101,国有企业总机构预缴所得税,0,2653390.7
101044102,股份制企业总机构预缴所得税,-493439.37,126873159.6
101044103,港澳台和外商投资企业总机构预缴所得税,402037.15,67740579.85
101044199,其他企业总机构预缴所得税,9379.65,7792288.76
101044201,国有企业总机构汇算清缴所得税,0,10038.95
101044202,股份制企业总机构汇算清缴所得税,369607.14,3822321.61
101044203,港澳台和外商投资企业总机构汇算清缴所得税,285162.08,8909990.94
101044299,其他企业总机构汇算清缴所得税,16565.12,861385.43
101044402,股份制企业分支机构预缴所得税,-861675.48,1631725.04
101044403,港澳台和外商投资企业分支机构预缴所得税,-10267.25,129142.22
101044499,其他企业分支机构预缴所得税,0,7518.19
101044502,股份制企业总机构预缴所得税,-1784375.53,1802331.97
101044599,其他企业总机构预缴所得税,23932.17,207591.53
101044602,股份制企业总机构汇算清缴所得税,-29337.81,0
101044699,其他企业总机构汇算清缴所得税,-18028.57,-18028.57
101044802,股份制企业分支机构汇算清缴所得税,1117.24,3382.14
101044803,港澳台和外商投资企业分支机构汇算清缴所得税,-406.17,0
101044901,国有企业分支机构汇算清缴所得税,0,810151.92
101044902,股份制企业分支机构汇算清缴所得税,-724692.93,181853258.5
101044903,港澳台和外商投资企业分支机构汇算清缴所得税,593343.1,19061159.26
101044999,其他企业分支机构汇算清缴所得税,-9837.58,1460401.08
101045001,内资企业所得税税款滞纳金、罚款、加收利息收入,633936.23,3698067.62
101045002,港澳台和外商投资企业所得税税款滞纳金、罚款、加,109939.67,2096411.99
10106,个人所得税,132983955.6,880345963.4
101060101,储蓄存款利息所得税,-36.29,28083.88
101060109,其他个人所得税,132845691.1,879884195
1010620,个人所得税税款滞纳金、罚款收入,138300.83,433684.44
10107,资源税,0,418324.36
1010719,其他资源税,0,418324.36
10109,城市维护建设税,157875170.2,857274062.5
101090109,其他国有企业城市维护建设税,7050225.32,48261893.98
1010902,集体企业城市维护建设税,885848.85,6451943.67
1010903,股份制企业城市维护建设税,143326698.6,743578916.1
1010904,联营企业城市维护建设税,27759.57,208241.24
1010905,港澳台和外商投资企业城市维护建设税,15135142.74,95567134.99
1010906,私营企业城市维护建设税,15600443.04,100866410.9
