科目代码,科目名称,本月发生额,本年累计
201,一般公共服务支出,44194491.67 ,262391388.59 
2010505,专项统计业务,0.00 ,19500.00 
2010908,信息化建设,828300.00 ,828300.00 
2011006,军队转业干部安置,43366191.67 ,261543588.59 
203,国防支出,13513000.00 ,28503000.00 
2030601,兵役征集,1500000.00 ,1500000.00 
2030607,民兵,1213000.00 ,273000.00 
204,公共安全支出,3288409.00 ,147876172.00 
2040101,内卫,3603000.00 ,8453000.00 
2040102,边防,20615889.00 ,61748871.00 
2040103,消防,108000.00 ,16324181.00 
2040301,行政运行,7761520.00 ,4875120.00 
2040302,一般行政管理事务,0.00 ,5877000.00 
2040304,安全业务,0.00 ,7398000.00 
205,教育支出,43491500.00 ,127771500.00 
2050202,小学教育,220400.00 ,75180400.00 
2050203,初中教育,7628400.00 ,38728400.00 
2050701,特殊学校教育,4960000.00 ,4960000.00 
2050904,城市中小学教学设施,8902700.00 ,8902700.00 
206,科学技术支出,15240000.00 ,88725900.00 
2060402,应用技术研究与开发,15240000.00 ,86465900.00 
2060403,产业技术研究与开发,0.00 ,2260000.00 
207,文化体育与传媒支出,2040000.00 ,6137700.00 
2070106,艺术表演场所,15660000.00 ,29157700.00 
2070205,博物馆,2380000.00 ,2380000.00 
2070305,体育竞赛,20000.00 ,20000.00 
2070408,出版发行,0.00 ,27500000.00 
208,社会保障和就业支出,2459307000.00 ,7625490000.00 
2080501,归口管理的行政单位离退休,750000.00 ,6188000.00 
2080505,机关事业单位基本养老保险缴费支出,997000.00 ,6962000.00 
2080507,对机关事业单位基本养老保险基金的补助,816840000.00 ,839950000.00 
2082601,财政对企业职工基本养老保险基金的补助,1640720000.00 ,5650580000.00 
2082602,财政对城乡居民基本养老保险基金的补助,0.00 ,1120430000.00 
2082702,财政对工伤保险基金的补助,0.00 ,1380000.00 
210,医疗卫生与计划生育支出,753000.00 ,263420000.00 
2101101,行政单位医疗,740000.00 ,5180000.00 
2101102,事业单位医疗,13000.00 ,78000.00 
2101204,财政对城镇居民基本医疗保险基金的补助,0.00 ,220280000.00 
2101302,疾病应急补助,0.00 ,2550000.00 
2109901,其他医疗卫生与计划生育支出,0.00 ,35332000.00 
212,城乡社区支出,236751301.50 ,4408206839.29 
2120399,其他城乡社区公共设施支出,97528583.00 ,1885203160.00 
2120801,征地和拆迁补偿支出,327869000.00 ,832869000.00 
2120802,土地开发支出,0.00 ,1844970.29 
2120803,城市建设支出,0.00 ,1011800.00 
2120804,农村基础设施建设支出,0.00 ,14575700.00 
2120999,其他城市公用事业附加支出,0.00 ,7420000.00 
2121301,城市公共设施,348718.50 ,58487209.00 
2129999,其他城乡社区支出,730805000.00 ,1506805000.00 
213,农林水支出,113173290.00 ,694357310.00 
2130121,农业结构调整补贴,21530000.00 ,21530000.00 
2130122,农业生产支持补贴,900000.00 ,385963000.00 
2130199,其他农业支出,0.00 ,33506000.00 
2130209,森林生态效益补偿,62400.00 ,248400.00 
2130234,林业防灾减灾,200000.00 ,1665700.00 
2130305,水利工程建设,544890.00 ,50544890.00 
2130306,水利工程运行与维护,16000.00 ,16000.00 
2130311,水资源节约管理与保护,320000.00 ,320000.00 
2130312,水质监测,0.00 ,58520.00 
2130314,防汛,500000.00 ,500000.00 
2130315,抗旱,0.00 ,2000000.00 
2130803,农业保险保费补贴,0.00 ,4800.00 
214,交通运输支出,237534000.00 ,838674549.43 
2140112,公路运输管理,0.00 ,4318000.00 
