科目代码,科目名称,本月发生额,本年累计
101,税收收入,5905794535,41205666239
10101,增值税,2649362558,18706246123
101010101,国有企业增值税,36157876.15,224622322.8
101010102,集体企业增值税,8567257.85,53067958.12
101010103,股份制企业增值税,224255446.5,1954351785
101010104,联营企业增值税,58147.15,452797.07
101010105,港澳台和外商投资企业增值税,276655746.6,1715791154
101010106,私营企业增值税,153592799.6,1082217506
101010119,其他增值税,9329184.77,113361827.4
101010120,增值税税款滞纳金、罚款收入,2482577.82,14381682.65
101010121,残疾人就业增值税退税,-9815866.06,-79542086.2
101010122,软件增值税退税,-16311884.42,-41541754.16
101010125,宣传文化单位增值税退税,-1144048.33,-1144048.33
101010127,核电站增值税退税,-54633941.33,-82479951.99
101010129,资源综合利用增值税退税,-5519722.09,-21143018.35
101010130,成品油增值税退税,0,-365004202.4
101010150,其他增值税退税,-428031.53,-428031.53
101010151,免抵调增增值税,735130092.7,2130054853
101010201,进口货物增值税,2916567283,16639710596
101010220,进口货物增值税税款滞纳金、罚款收入,526965.47,1679361.02
101010221,进口货物退增值税,0,-65976795.71
101010301,出口货物退增值税,-538484710.9,-3905181180
101010302,免抵调减增值税,-1470260185,-4260109707
101010401,改征增值税,465274572.8,3694438667
101010402,中国铁路总公司改征增值税待分配收入,3389279.37,21168418.14
101010403,中国铁路总公司改征增值税收入,3389279.43,21168418.4
101010420,改征增值税税款滞纳金、罚款收入,490785.22,3608634.3
101010429,改征增值税国内退税,58693.78,-80774.17
101010461,免抵调增改征增值税,91694144.67,142933935.6
101010501,改征增值税出口退税,1729104.55,1735627.24
101010502,免抵调减改征增值税,-183388289.3,-285867871.2
10102,消费税,1410643469,5940794120
101020101,国有企业消费税,66667209.29,358490602.5
101020102,集体企业消费税,14671.91,131637.45
101020103,股份制企业消费税,7801896.29,41159085.54
101020105,港澳台和外商投资企业消费税,72412221.1,469480809.9
101020106,私营企业消费税,1798158.92,8639717.14
101020107,成品油消费税,1586807064,6842797016
101020119,其他消费税,19777.88,1220903.92
101020120,消费税税款滞纳金、罚款收入,125.25,21641.23
101020121,成品油消费税退税,-495533466.2,-2469611116
101020202,进口成品油消费税,2328872.15,14686870.8
101020209,进口其他消费品消费税,167763812.3,853589050.3
101020220,进口消费品消费税税款滞纳金、罚款收入,653462.93,1019085.77
101020221,进口成品油消费税退税,0,-179930875.4
1010203,出口消费品退消费税,-90337.61,-900309.14
10103,营业税,1485710.35,63731842.27
101030301,交强险营业税,0,-2920.08
