科目代码,科目名称,本月发生额,本年累计
101,税收收入,1414987634,10969171376
10101,增值税,650401629.1,4521649899
101010101,国有企业增值税,9924338.63,64063388.83
101010102,集体企业增值税,3103897.58,19019804.33
101010103,股份制企业增值税,76476583.35,766180567.8
101010104,联营企业增值税,14007.06,122622.79
101010105,港澳台和外商投资企业增值税,90442244.83,544438393.6
101010106,私营企业增值税,46535324.24,348766936.7
101010119,其他增值税,3293395.45,44460253.92
101010120,增值税税款滞纳金、罚款收入,828837.5,5157559.38
101010121,残疾人就业增值税退税,-2947034.61,-26383192.4
101010122,软件增值税退税,-5382067.12,-13350193.19
101010125,宣传文化单位增值税退税,-537947.23,-537947.23
101010127,核电站增值税退税,-5463394.13,-8247995.2
101010129,资源综合利用增值税退税,-1011236.62,-5578280.11
101010150,其他增值税退税,-192614.18,-192614.18
101010151,免抵调增增值税,186558075.1,609381955.5
101010401,改征增值税,216901146.6,2119174166
101010420,改征增值税税款滞纳金、罚款收入,138988.24,1426622.73
101010429,改征增值税国内退税,32281.59,-33299.96
101010461,免抵调增改征增值税,31686802.7,53781149.38
10103,营业税,422989.86,40893273.52
101030301,交强险营业税,0,-2920.07
101030399,其他金融保险业营业税,206927.96,19274024.93
1010304,一般营业税,39334.11,17420760.25
1010320,营业税税款滞纳金、罚款收入,176727.79,4201408.41
10104,企业所得税,140077453.6,2582890969
1010405,国有石油和化学工业所得税,0,150854.34
1010413,国有船舶工业所得税,6.42,602857.03
1010415,国有烟草企业所得税,0,18650782.73
101041709,其他国有铁道企业所得税,0,31164.5
1010418,国有交通企业所得税,0,11088.27
1010422,国有外贸企业所得税,0,1280046.73
101042602,国有出版企业所得税,0,695.14
101042609,其他国有文教企业所得税,0,46559.25
1010431,其他国有企业所得税,357057.27,8987060.15
1010432,集体企业所得税,1072876.7,7092556.14
101043317,跨省合资铁路企业所得税,0,126307.29
101043399,其他股份制企业所得税,38415533.63,630359708.9
1010434,联营企业所得税,-8042.42,1204317.2
101043509,其他港澳台和外商投资企业所得税,66647389.99,611515737.1
1010436,私营企业所得税,31301272.29,217335687.1
1010439,其他企业所得税,53109.24,416488747.3
101044001,国有企业分支机构预缴所得税,33626.41,1562647.99
101044002,股份制企业分支机构预缴所得税,-907971.46,302726132.1
101044003,港澳台和外商投资企业分支机构预缴所得税,4581054.69,92082324.16
101044099,其他企业分支机构预缴所得税,18582.02,5535193.68
101044102,股份制企业总机构预缴所得税,-493439.37,19634958.13
101044103,港澳台和外商投资企业总机构预缴所得税,402037.15,17881423.88
101044199,其他企业总机构预缴所得税,9379.65,3237270.24
101044201,国有企业总机构汇算清缴所得税,0,10038.95
101044202,股份制企业总机构汇算清缴所得税,369607.14,3822321.61
101044203,港澳台和外商投资企业总机构汇算清缴所得税,285162.08,8909990.94
101044299,其他企业总机构汇算清缴所得税,16565.12,861385.43
101044402,股份制企业分支机构预缴所得税,-861675.48,1631725.04
101044403,港澳台和外商投资企业分支机构预缴所得税,-10267.25,129142.22
101044499,其他企业分支机构预缴所得税,0,7518.19
101044502,股份制企业总机构预缴所得税,-1784375.53,1802331.97
101044599,其他企业总机构预缴所得税,23932.17,207591.53
101044602,股份制企业总机构汇算清缴所得税,-29337.81,0
101044699,其他企业总机构汇算清缴所得税,-18028.57,-18028.57
101044802,股份制企业分支机构汇算清缴所得税,1117.24,3382.14
101044803,港澳台和外商投资企业分支机构汇算清缴所得税,-406.17,0
101044901,国有企业分支机构汇算清缴所得税,0,810151.92
101044902,股份制企业分支机构汇算清缴所得税,-724692.93,181853258.5
101044903,港澳台和外商投资企业分支机构汇算清缴所得税,593343.1,19061159.26
101044999,其他企业分支机构汇算清缴所得税,-9837.58,1460401.08
101045001,内资企业所得税税款滞纳金、罚款、加收利息收入,633936.23,3698067.62
101045002,港澳台和外商投资企业所得税税款滞纳金、罚款、加,109939.67,2096411.99
10106,个人所得税,132983955.6,880345963.4
101060101,储蓄存款利息所得税,-36.29,28083.88
101060109,其他个人所得税,132845691.1,879884195
1010620,个人所得税税款滞纳金、罚款收入,138300.83,433684.44
10107,资源税,0,418324.36
1010719,其他资源税,0,418324.36
10109,城市维护建设税,157875170.2,857274062.5
101090109,其他国有企业城市维护建设税,7050225.32,48261893.98
1010902,集体企业城市维护建设税,885848.85,6451943.67
1010903,股份制企业城市维护建设税,143326698.6,743578916.1
1010904,联营企业城市维护建设税,27759.57,208241.24
1010905,港澳台和外商投资企业城市维护建设税,15135142.74,95567134.99
1010906,私营企业城市维护建设税,15600443.04,100866410.9
1010919,其他城市维护建设税,4668703.19,60060991.95
1010920,城市维护建设税税款滞纳金、罚款收入,33071717.72,46952662.65
1010921,成品油价格和税费改革城市维护建设税划出,-61891368.77,-244674133
10110,房产税,98550463.17,560816082.5
1011001,国有企业房产税,2898657.97,19492793.01
1011002,集体企业房产税,759480.57,5031209.26
1011003,股份制企业房产税,42380844.9,230526360.3
1011004,联营企业房产税,28214.99,143202.92
1011005,港澳台和外商投资企业房产税,25774945.5,152556773.6
1011006,私营企业房产税,16581415.72,94311305.69
1011019,其他房产税,9308113.87,55957794.24
1011020,房产税税款滞纳金、罚款收入,818789.65,2796643.41
10111,印花税,1275345.6,9572795.06
1011119,其他印花税,1275345.6,9572488.61
1011120,印花税税款滞纳金、罚款收入,0,306.45
10112,城镇土地使用税,46749498.28,273016235.9
1011201,国有企业城镇土地使用税,1942127.84,11902856.91
1011202,集体企业城镇土地使用税,509225.35,3657783.26
1011203,股份制企业城镇土地使用税,23224626.55,133839774.7
1011204,联营企业城镇土地使用税,18642.98,38720.59
1011205,私营企业城镇土地使用税,10591604.07,62315915.24
1011206,港澳台和外商投资企业城镇土地使用税,9555354.24,54433054.95
1011219,其他城镇土地使用税,517113.4,5304476.34
1011220,城镇土地使用税税款滞纳金、罚款收入,390803.85,1523653.9
10113,土地增值税,485725.74,7041910.55
1011303,股份制企业土地增值税,219238.35,1612642.3
1011306,私营企业土地增值税,0,2168333.22
1011319,其他土地增值税,266487.39,3260935.03
10114,车船税,64170556.82,387908865.1
1011401,车船税,64168445.41,387894988.6
1011420,车船税税款滞纳金、罚款收入,2111.41,13876.56
10119,契税,121994845.5,847342995.4
1011901,契税,120690138.6,845907328.2
1011920,契税税款滞纳金、罚款收入,1304706.95,1435667.25
103,非税收入,279952110.5,1618183077
10301,政府性基金收入,17487258.58,89582190.05
1030119,新型墙体材料专项基金收入,0,5868455.69
1030144,城市公用事业附加收入,35692.8,4997809.59
103014801,土地出让价款收入,0,10090000
103014802,补缴的土地价款,14619.53,92120.53
103014899,其他土地出让收入,6765,291276
1030178,污水处理费收入,17430181.25,68242528.24
10302,专项收入,135245413.9,749819129.9
103020301,教育费附加收入,85176120.03,483452892.8
103020302,成品油价格和税费改革教育费附加收入划出,-26131911.25,-103306856.1
103020399,教育费附加滞纳金、罚款收入,14226852.33,19860170.59
1030216,地方教育附加收入,56781993.04,321865835.1
1030217,文化事业建设费收入,1734084.64,12434994.93
1030218,残疾人就业保障金收入,3176311.12,11393386.93
1030222,森林植被恢复费,281964,4118705.6
10304,行政事业性收费收入,85382692.53,312431985
103040102,外国人证件费,2690,2690
103040103,公民出入境证件费,46760,46760
103040303,公证费,4658044,22055045
103040403,签证费,216900,1029400
103040701,证书工本费,154703,1995872.15
103040702,考试考务费,0,1360408
103041607,锅炉、压力容器检验费,8910011.35,35056908.92
103041608,考试考务费,49620,324520
103041610,计量收费,3452243.7,10566582
103041617,特种设备检验检测费,0,928088
103041618,产品质量监督检验费,2150610,3603699.3
103042401,防空地下室易地建设费,0,47790400
103042450,其他缴入国库的人防办行政事业性收费,1665773,12808939
103043208,耕地开垦费,21770505,32328990
103043250,其他缴入国库的国土资源行政事业性收费,0,112988
103043306,城市道路占用挖掘费,13671271,27512768
103043313,城镇垃圾处理费,7534494,12535168
103043350,其他缴入国库的建设行政事业性收费,87525.72,2640626.01
103043508,排污费收入,11256822,43838338.3
103044203,考试考务费,177948,842953
103044250,其他缴入国库的交通运输行政事业性收费,3435169.8,17855079.4
103044414,渔业资源增殖保护费,64000,210000
103044430,渔业船舶和船用产品检验费,74080,1383852
103044609,灌溉水源灌排工程补偿费收入,324631.48,678054.43
103044708,预防性体检费,0,119680
103044710,委托性卫生防疫服务费,90000,300566
103044712,医疗事故鉴定费,3500,10500
103044804,GSP认证费,0,292800
103044807,药品检验费,4200,10302987
103044850,其他缴入国库的食品药品监管行政事业性收费,632448,2531890
103044908,殡葬收费,1326649,1326649
103045002,职业技能鉴定考试考务费,648239,6628322
103045004,专业技术人员职业资格考试考务费收入,144850,1172019
103045050,其他缴入国库人力资源和社会保障行政事业性,215393.48,873205.37
103045501,仲裁收费,2597011,8480192.09
103049950,其他缴入国库的行政事业性收费,16600,2885045
10305,罚没收入,38047520.85,116037362.5
103050101,公安罚没收入,506762,506762
103050102,检察院罚没收入,0,423660
103050104,工商罚没收入,455913.3,2948254.98
103050106,技术监督罚没收入,27900,362457.46
103050107,税务部门罚没收入,0,100
103050109,食品药品监督罚没收入,75102.24,688898.03
103050110,卫生罚没收入,12800,45200
103050114,交通罚没收入,1584800,6106400
103050117,渔政罚没收入,201000,492000
103050122,物价罚没收入,5461116.17,6879339.01
103050199,其他一般罚没收入,29722127.14,97584291.06
10307,国有资源（资产）有偿使用收入,3477835.82,72127429.04
103070102,地方海域使用金收入,1512780.18,48254981.18
103070599,其他利息收入,104737.55,221293.97
103070601,行政单位国有资产出租、出借收入,0,167500
103070602,行政单位国有资产处置收入,19032.76,19032.76
103070603,事业单位国有资产处置收入,0,21800
103070604,事业单位国有资产出租出借收入,573933.33,2192921.52
103070699,其他非经营性国有资产收入,441356,2386979
1030707,出租车经营权有偿出让和转让收入,52500,1245000
103070802,地方无居民海岛使用收入,34540.8,34540.8
103071401,矿产资源补偿费收入,0,318422.5
103071402,探矿权、采矿权使用费收入,2500,9980
103071403,探矿权、采矿权价款收入,129701.4,15096144.91
103071999,其他水资源费收入,606753.8,2158812.4
1030799,其他国有资源（资产）有偿使用收入,0,20
10309,政府住房基金收入,0,275922472
1030901,上缴管理费用,0,60140000
1030902,计提公共租赁住房资金,0,200000000
1030903,公共租赁住房租金收入,0,15782472
10399,其他收入,311388.83,2262508.55
1039999,其他收入,311388.83,2262508.55
110,转移性收入,352419969.2,1988857126
11006,上解收入,352419969.2,1988857126
110060202,金州新区上解收入,115142965.4,552132554.1
110060206,中山区上解收入,28573959.47,210575453.7
110060207,西岗区上解收入,11248221.68,93846401.69
110060208,沙河口区上解收入,37493785.65,175865348.5
110060209,甘井子区上解收入,51769656.71,424880203.6
110060210,旅顺口区上解收入,6813703.7,50380707.5
110060212,高薪园区上解收入,32520536.53,197702880.7
110060214,保税区上解收入,28196504.61,171672365.3
110060216,花园口经济区上解收入,3651500.77,25756396.57
110060217,普湾新区上解收入,37009134.65,86044813.85
,预算内基金,17487258.58,89582190.05
,一般预算内,2029872455,14486629389
,合计数,2047359713,14576211579
