科目代码,科目名称,本月发生额,本年累计
101,税收收入,3872810919,29579440754
10101,增值税,1711366399,12979577938
101010101,国有企业增值税,72315751.71,449244642.4
101010102,集体企业增值税,17134514.05,106135906.4
101010103,股份制企业增值税,448306637.6,3908703452
101010104,联营企业增值税,116294.29,905594.04
101010105,港澳台和外商投资企业增值税,553311489.2,3431582285
101010106,私营企业增值税,307169800.2,2164429290
101010119,其他增值税,18658328.77,226723497.4
101010120,增值税税款滞纳金、罚款收入,4965153.32,28763350.6
101010121,残疾人就业增值税退税,-19701476.86,-159084165.7
101010122,软件增值税退税,-33072877.41,-83083506.86
101010129,资源综合利用增值税退税,-11076929.38,-42286035.21
101010130,成品油增值税退税,0,-365004202.4
101010151,免抵调增增值税,1470260185,4260109707
101010301,出口货物退增值税,-538484710.9,-3905181180
101010302,免抵调减增值税,-1470260185,-4260109707
101010401,改征增值税,882120546.1,7166619828
101010402,中国铁路总公司改征增值税待分配收入,3389279.37,21168418.14
101010403,中国铁路总公司改征增值税收入,3389279.43,21168418.4
101010420,改征增值税税款滞纳金、罚款收入,978827.35,7198267.33
101010429,改征增值税国内退税,117387.59,-161548.27
101010461,免抵调增改征增值税,183388289.3,285867871.2
101010501,改征增值税出口退税,1729104.55,1735627.24
101010502,免抵调减改征增值税,-183388289.3,-285867871.2
10102,消费税,1239897321,5251429989
101020101,国有企业消费税,66667209.29,358490602.5
101020102,集体企业消费税,14671.91,131637.45
101020103,股份制企业消费税,7801896.29,41159085.54
101020105,港澳台和外商投资企业消费税,72412221.1,469480809.9
101020106,私营企业消费税,1798158.92,8639717.14
101020107,成品油消费税,1586807064,6842797016
101020119,其他消费税,19777.88,1220903.92
101020120,消费税税款滞纳金、罚款收入,125.25,21641.23
101020121,成品油消费税退税,-495533466.2,-2469611116
1010203,出口消费品退消费税,-90337.61,-900309.14
10104,企业所得税,764515835.5,10453910577
1010405,国有石油和化学工业所得税,0,838079.66
1010413,国有船舶工业所得税,29.2,5294928.61
1010415,国有烟草企业所得税,0,84776285.14
101041709,其他国有铁道企业所得税,0,142418.52
1010418,国有交通企业所得税,0,60159.84
1010422,国有外贸企业所得税,0,5818394.24
101042602,国有出版企业所得税,0,3159.74
1010431,其他国有企业所得税,1579554.82,7979120.32
1010432,集体企业所得税,11421862.08,28146436.9
101043303,中国石油天然气股份有限公司所得税,0,287954609.9
101043317,跨省合资铁路企业所得税,0,1578841.12
101043399,其他股份制企业所得税,133913273.4,2269434142
1010434,联营企业所得税,-8071.49,-67262.46
101043509,其他港澳台和外商投资企业所得税,516948538.1,4751843726
1010436,私营企业所得税,63378977.29,706392036.8
1010439,其他企业所得税,3637.23,24153132.49
101044001,国有企业分支机构预缴所得税,44451.62,3860727.58
101044002,股份制企业分支机构预缴所得税,36940086.13,743170610.2
101044003,港澳台和外商投资企业分支机构预缴所得税,11288470.4,325784015.4
101044099,其他企业分支机构预缴所得税,79.51,15727476.64
101044102,股份制企业总机构预缴所得税,0,132985507.6
101044103,港澳台和外商投资企业总机构预缴所得税,3573663.59,223575851.4
101044199,其他企业总机构预缴所得税,0,12578852.49
101044201,国有企业总机构汇算清缴所得税,0,73010.52
