科目代码,科目名称,本月发生额,本年累计
101,税收收入,10031980054,68346454920
10101,增值税,4564504287,29609159678
101010101,国有企业增值税,72315751.71,449244642.4
101010102,集体企业增值税,17134514.05,106135906.4
101010103,股份制企业增值税,448306637.6,3908703452
101010104,联营企业增值税,116294.29,905594.04
101010105,港澳台和外商投资企业增值税,553311489.2,3431582285
101010106,私营企业增值税,307169800.2,2164429290
101010119,其他增值税,18658328.77,226723497.4
101010120,增值税税款滞纳金、罚款收入,4965153.32,28763350.6
101010121,残疾人就业增值税退税,-19701476.86,-159084165.7
101010122,软件增值税退税,-33072877.41,-83083506.86
101010125,宣传文化单位增值税退税,-2288096.64,-2288096.64
101010127,核电站增值税退税,-109267882.7,-164959904
101010129,资源综合利用增值税退税,-11076929.38,-42286035.21
101010130,成品油增值税退税,0,-365004202.4
101010150,其他增值税退税,-856063.05,-856063.05
101010151,免抵调增增值税,1470260185,4260109707
101010201,进口货物增值税,2916567283,16639710596
101010220,进口货物增值税税款滞纳金、罚款收入,526965.47,1679361.02
101010221,进口货物退增值税,0,-65976795.71
101010301,出口货物退增值税,-538484710.9,-3905181180
101010302,免抵调减增值税,-1470260185,-4260109707
101010401,改征增值税,930573479.9,7388873477
101010402,中国铁路总公司改征增值税待分配收入,3389279.37,21168418.14
101010403,中国铁路总公司改征增值税收入,3389279.43,21168418.4
101010420,改征增值税税款滞纳金、罚款收入,981574.82,7217260.31
101010429,改征增值税国内退税,117387.59,-161548.27
101010461,免抵调增改征增值税,183388289.3,285867871.2
101010501,改征增值税出口退税,1729104.55,1735627.24
101010502,免抵调减改征增值税,-183388289.3,-285867871.2
10102,消费税,1410643469,5940794120
101020101,国有企业消费税,66667209.29,358490602.5
101020102,集体企业消费税,14671.91,131637.45
101020103,股份制企业消费税,7801896.29,41159085.54
101020105,港澳台和外商投资企业消费税,72412221.1,469480809.9
101020106,私营企业消费税,1798158.92,8639717.14
101020107,成品油消费税,1586807064,6842797016
101020119,其他消费税,19777.88,1220903.92
101020120,消费税税款滞纳金、罚款收入,125.25,21641.23
101020121,成品油消费税退税,-495533466.2,-2469611116
101020202,进口成品油消费税,2328872.15,14686870.8
101020209,进口其他消费品消费税,167763812.3,853589050.3
101020220,进口消费品消费税税款滞纳金、罚款收入,653462.93,1019085.77
101020221,进口成品油消费税退税,0,-179930875.4
1010203,出口消费品退消费税,-90337.61,-900309.14
10103,营业税,2971420.56,127463683.8
101030301,交强险营业税,0,-5840.15
101030399,其他金融保险业营业税,413855.92,38548049.87
1010304,一般营业税,1636803.51,69878201.56
1010320,营业税税款滞纳金、罚款收入,920761.13,19043272.53
10104,企业所得税,960208777.1,14321964593
1010405,国有石油和化学工业所得税,0,838079.66
1010413,国有船舶工业所得税,29.2,5294928.61
1010415,国有烟草企业所得税,0,84776285.14
101041709,其他国有铁道企业所得税,0,142418.52
1010418,国有交通企业所得税,0,60159.84
1010422,国有外贸企业所得税,0,5818394.24
101042602,国有出版企业所得税,0,3159.74
101042609,其他国有文教企业所得税,0,116398.12
1010431,其他国有企业所得税,2257905.62,55978535.83
1010432,集体企业所得税,12604441.33,62638847.4
101043303,中国石油天然气股份有限公司所得税,0,287954609.9
101043317,跨省合资铁路企业所得税,0,1578841.12
101043399,其他股份制企业所得税,246890784.3,3801607890
1010434,联营企业所得税,-7829.22,5497317.91
101043509,其他港澳台和外商投资企业所得税,517068643,4778017196
1010436,私营企业所得税,181858507.7,1497875335
1010439,其他企业所得税,709959.63,1085743537
101044001,国有企业分支机构预缴所得税,44451.62,5260425.06
101044002,股份制企业分支机构预缴所得税,-2450219.71,816091420.3
101044003,港澳台和外商投资企业分支机构预缴所得税,11288470.4,327723922.2
101044099,其他企业分支机构预缴所得税,46455.05,19311212.47
101044101,国有企业总机构预缴所得税,0,2653390.7
101044102,股份制企业总机构预缴所得税,-4111994.76,280754268.2
101044103,港澳台和外商投资企业总机构预缴所得税,3573663.59,273435007.4
101044199,其他企业总机构预缴所得税,9379.65,31958175.88
101044201,国有企业总机构汇算清缴所得税,0,73010.52
101044202,股份制企业总机构汇算清缴所得税,3561379.38,28808179.27
101044203,港澳台和外商投资企业总机构汇算清缴所得税,1861401.27,104960813.2
101044299,其他企业总机构汇算清缴所得税,41844.81,6557323.98
101044301,国有企业所得税待分配收入,12745.6,30998.23
101044302,股份制企业所得税待分配收入,901900.97,50588013.68
101044303,港澳台和外商投资企业所得税待分配收入,1363970.21,82134166.14
101044399,其他企业所得税待分配收入,7086.67,8490120.37
101044402,股份制企业分支机构预缴所得税,-7180628.98,9659617.73
101044403,港澳台和外商投资企业分支机构预缴所得税,-25758.39,322855.55
101044499,其他企业分支机构预缴所得税,0,185434.3
101044502,股份制企业总机构预缴所得税,-14749655.98,15019433.11
101044599,其他企业总机构预缴所得税,132956.48,1153318.29
101044602,股份制企业总机构汇算清缴所得税,-162987.81,0
101044699,其他企业总机构汇算清缴所得税,-450714.37,-450714.37
101044802,股份制企业分支机构汇算清缴所得税,13965.48,26027.57
101044803,港澳台和外商投资企业分支机构汇算清缴所得税,-1015.42,0
101044901,国有企业分支机构汇算清缴所得税,0,2025379.8
101044902,股份制企业分支机构汇算清缴所得税,-1897350.39,455684155
101044903,港澳台和外商投资企业分支机构汇算清缴所得税,2757053.77,
101044999,其他企业分支机构汇算清缴所得税,-4500.36,6199594.8
101045001,内资企业所得税税款滞纳金、罚款、加收利息收入,3711581.28,
101045002,港澳台和外商投资企业所得税税款滞纳金、罚款、加收利息收入,532855.49,
10106,个人所得税,706172638.7,4917862185
101060101,储蓄存款利息所得税,-11410.63,85672.8
101060109,其他个人所得税,705212310.8,4914134187
1010620,个人所得税税款滞纳金、罚款收入,971738.52,3642324.72
10107,资源税,219331277.9,766261054.7
1010702,水资源税收入,448,1162.4
1010719,其他资源税,85931397.43,359419646.7
1010720,资源税税款滞纳金、罚款收入,133399432.5,406840245.5
10109,城市维护建设税,356261472,1967062331
101090101,中国铁路总公司集中缴纳的铁路运输企业城市维护建设税,0,29.13
101090109,其他国有企业城市维护建设税,8148813.52,55793125.56
1010902,集体企业城市维护建设税,1585831.4,11646954.31
1010903,股份制企业城市维护建设税,177185777.3,971086918.7
1010904,联营企业城市维护建设税,34641.55,260642.86
1010905,港澳台和外商投资企业城市维护建设税,92537786.06,561641967.8
1010906,私营企业城市维护建设税,36251168.66,244457824.9
1010919,其他城市维护建设税,7123803.12,73705646.46
